Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result,Next Game
1,1,20/11/2022 16:00,Al Bayt Stadium,Qatar,Ecuador,Group A,,
3,1,21/11/2022 13:00,Khalifa International Stadium,England,Iran,Group B,,
2,1,21/11/2022 16:00,Al Thumama Stadium,Senegal,Netherlands,Group A,,
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,USA,Wales,Group B,,
8,1,22/11/2022 10:00,Lusail Stadium,Argentina,Saudi Arabia,Group C,,
6,1,22/11/2022 13:00,Education City Stadium,Denmark,Tunisia,Group D,,
7,1,22/11/2022 16:00,Stadium 974,Mexico,Poland,Group C,,
5,1,22/11/2022 19:00,Al Janoub Stadium,France,Australia,Group D,,
12,1,23/11/2022 10:00,Al Bayt Stadium,Morocco,Croatia,Group F,,
11,1,23/11/2022 13:00,Khalifa International Stadium,Germany,Japan,Group E,,
10,1,23/11/2022 16:00,Al Thumama Stadium,Spain,Costa Rica,Group E,,
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,,
13,1,24/11/2022 10:00,Al Janoub Stadium,Switzerland,Cameroon,Group G,,
14,1,24/11/2022 13:00,Education City Stadium,Uruguay,Korea Republic,Group H,,
15,1,24/11/2022 16:00,Stadium 974,Portugal,Ghana,Group H,,
16,1,24/11/2022 19:00,Lusail Stadium,Brazil,Serbia,Group G,,
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,Iran,Group B,,
18,2,25/11/2022 13:00,Al Thumama Stadium,Qatar,Senegal,Group A,,
19,2,25/11/2022 16:00,Khalifa International Stadium,Netherlands,Ecuador,Group A,,
20,2,25/11/2022 19:00,Al Bayt Stadium,England,USA,Group B,,
21,2,26/11/2022 10:00,Al Janoub Stadium,Tunisia,Australia,Group D,,
22,2,26/11/2022 13:00,Education City Stadium,Poland,Saudi Arabia,Group C,,
23,2,26/11/2022 16:00,Stadium 974,France,Denmark,Group D,,
24,2,26/11/2022 19:00,Lusail Stadium,Argentina,Mexico,Group C,,
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,,
26,2,27/11/2022 13:00,Al Thumama Stadium,Belgium,Morocco,Group F,,
27,2,27/11/2022 16:00,Khalifa International Stadium,Croatia,Canada,Group F,,
28,2,27/11/2022 19:00,Al Bayt Stadium,Spain,Germany,Group E,,
29,2,28/11/2022 10:00,Al Janoub Stadium,Cameroon,Serbia,Group G,,
30,2,28/11/2022 13:00,Education City Stadium,Korea Republic,Ghana,Group H,,
31,2,28/11/2022 16:00,Stadium 974,Brazil,Switzerland,Group G,,
32,2,28/11/2022 19:00,Lusail Stadium,Portugal,Uruguay,Group H,,
35,3,29/11/2022 15:00,Khalifa International Stadium,Ecuador,Senegal,Group A,,
36,3,29/11/2022 15:00,Al Bayt Stadium,Netherlands,Qatar,Group A,,
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,England,Group B,,
34,3,29/11/2022 19:00,Al Thumama Stadium,Iran,USA,Group B,,
37,3,30/11/2022 15:00,Al Janoub Stadium,Australia,Denmark,Group D,,
38,3,30/11/2022 15:00,Education City Stadium,Tunisia,France,Group D,,
39,3,30/11/2022 19:00,Stadium 974,Poland,Argentina,Group C,,
40,3,30/11/2022 19:00,Lusail Stadium,Saudi Arabia,Mexico,Group C,,
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,Belgium,Group F,,
42,3,01/12/2022 15:00,Al Thumama Stadium,Canada,Morocco,Group F,,
43,3,01/12/2022 19:00,Khalifa International Stadium,Japan,Spain,Group E,,
44,3,01/12/2022 19:00,Al Bayt Stadium,Costa Rica,Germany,Group E,,
45,3,02/12/2022 15:00,Al Janoub Stadium,Ghana,Uruguay,Group H,,
46,3,02/12/2022 15:00,Education City Stadium,Korea Republic,Portugal,Group H,,
47,3,02/12/2022 19:00,Stadium 974,Serbia,Switzerland,Group G,,
48,3,02/12/2022 19:00,Lusail Stadium,Cameroon,Brazil,Group G,,
49,Round of 16,03/12/2022 15:00,Khalifa International Stadium,1A,2B,,,57
50,Round of 16,03/12/2022 19:00,Ahmad Bin Ali Stadium,1C,2D,,,57
52,Round of 16,04/12/2022 15:00,"Al Thumama Stadium, Doha",1D,2C,,,59
51,Round of 16,04/12/2022 19:00,"Al Bayt Stadium, Al Khor",1B,2A,,,59
53,Round of 16,05/12/2022 15:00,"Al Janoub Stadium, Al Wakrah",1E,2F,,,58
54,Round of 16,05/12/2022 19:00,"Stadium 974, Doha",1G,2H,,,58
55,Round of 16,06/12/2022 15:00,"Education City Stadium, Al Rayyan",1F,2E,,,60
56,Round of 16,06/12/2022 19:00,"Lusail Iconic Stadium, Lusail",1H,2G,,,60
58,Quarter Finals,09/12/2022 15:00,"Education City Stadium, Al Rayyan",To be announced,To be announced,,,61
57,Quarter Finals,09/12/2022 19:00,"Lusail Iconic Stadium, Lusail",To be announced,To be announced,,,61
60,Quarter Finals,10/12/2022 15:00,"Al Thumama Stadium, Doha",To be announced,To be announced,,,62
59,Quarter Finals,10/12/2022 19:00,"Al Bayt Stadium, Al Khor",To be announced,To be announced,,,62
61,Semi Finals,13/12/2022 19:00,"Lusail Iconic Stadium, Lusail",To be announced,To be announced,,,63
62,Semi Finals,14/12/2022 19:00,"Al Bayt Stadium, Al Khor",To be announced,To be announced,,,63
63,Finals,18/12/2022 15:00,"Lusail Iconic Stadium, Lusail",To be announced,To be announced,,,
